               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.089091,            0.032948,            0.017483,             0.45069,            0.056121,             0.03861,             0.01227,            0.071693,             0.02327,            0.012752,            0.070007,           0.0033326,           0.0033326
                   1,            0.067564,            0.031189,            0.010884,             0.54855,             0.14962,             0.13359,            0.054015,            0.059672,            0.021919,           0.0084033,            0.039347,            0.006006,            0.006006
                   2,            0.060496,            0.030024,           0.0085995,             0.65986,             0.20161,             0.22301,             0.10172,            0.053971,            0.020969,           0.0061234,           0.0080272,           0.0080194,           0.0080194
                   3,             0.05602,            0.029052,           0.0067641,             0.49332,              0.2579,             0.28911,             0.13819,            0.050179,            0.020266,             0.00464,             0.00703,             0.00703,             0.00703
                   4,            0.053577,            0.028361,           0.0059157,              0.4999,             0.30009,             0.31986,             0.16138,            0.048302,            0.019774,           0.0040387,             0.00703,             0.00703,             0.00703
                   5,            0.051712,            0.027795,           0.0052928,             0.57658,             0.31208,             0.35498,             0.18418,            0.046989,            0.019432,           0.0036503,             0.00604,             0.00604,             0.00604
                   6,            0.050466,            0.027321,           0.0049009,             0.58608,             0.32591,             0.38069,             0.20033,            0.046046,            0.019155,           0.0033832,             0.00505,             0.00505,             0.00505
                   7,            0.049595,            0.027005,           0.0045448,             0.57097,              0.3538,             0.39178,             0.21176,            0.045308,            0.018988,           0.0031413,             0.00406,             0.00406,             0.00406
                   8,            0.048691,             0.02667,           0.0042891,             0.55154,             0.36627,             0.40359,             0.21921,            0.044845,            0.018831,           0.0030141,             0.00307,             0.00307,             0.00307
                   9,            0.048019,            0.026541,           0.0040541,             0.57442,             0.37011,             0.41394,             0.22593,            0.044449,            0.018726,           0.0029095,             0.00208,             0.00208,             0.00208
